,2023-07-31,2022-07-31,2021-07-31,2020-07-31
TaxEffectOfUnusualItems,-93987000.0,-1104000.0,-178086000.0,-94757000.0
TaxRateForCalcs,0.177,0.184,0.201,0.197
NormalizedEBITDA,18002000000.0,16800000000.0,16444000000.0,16844000000.0
TotalUnusualItems,-531000000.0,-6000000.0,-886000000.0,-481000000.0
TotalUnusualItemsExcludingGoodwill,-531000000.0,-6000000.0,-886000000.0,-481000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,12613000000.0,11812000000.0,10591000000.0,11214000000.0
ReconciledDepreciation,1726000000.0,1957000000.0,1862000000.0,1808000000.0
ReconciledCostOfRevenue,19801000000.0,17665000000.0,16277000000.0,15951000000.0
EBITDA,17471000000.0,16794000000.0,15558000000.0,16363000000.0
EBIT,15745000000.0,14837000000.0,13696000000.0,14555000000.0
NetInterestIncome,535000000.0,116000000.0,184000000.0,335000000.0
InterestExpense,427000000.0,360000000.0,434000000.0,585000000.0
InterestIncome,962000000.0,476000000.0,618000000.0,920000000.0
NormalizedIncome,13050013000.0,11816896000.0,11298914000.0,11600243000.0
NetIncomeFromContinuingAndDiscontinuedOperation,12613000000.0,11812000000.0,10591000000.0,11214000000.0
TotalExpenses,41436000000.0,37582000000.0,36099000000.0,35200000000.0
TotalOperatingIncomeAsReported,15031000000.0,13969000000.0,12833000000.0,13620000000.0
DilutedAverageShares,4105000000.0,4192000000.0,4236000000.0,4254000000.0
BasicAverageShares,4093000000.0,4170000000.0,4222000000.0,4236000000.0
DilutedEPS,3.07,2.82,2.5,2.64
BasicEPS,3.08,2.83,2.51,2.65
DilutedNIAvailtoComStockholders,12613000000.0,11812000000.0,10591000000.0,11214000000.0
NetIncomeCommonStockholders,12613000000.0,11812000000.0,10591000000.0,11214000000.0
NetIncome,12613000000.0,11812000000.0,10591000000.0,11214000000.0
NetIncomeIncludingNoncontrollingInterests,12613000000.0,11812000000.0,10591000000.0,11214000000.0
NetIncomeContinuousOperations,12613000000.0,11812000000.0,10591000000.0,11214000000.0
TaxProvision,2705000000.0,2665000000.0,2671000000.0,2756000000.0
PretaxIncome,15318000000.0,14477000000.0,13262000000.0,13970000000.0
OtherIncomeExpense,-779000000.0,386000000.0,-641000000.0,-466000000.0
OtherNonOperatingIncomeExpenses,-248000000.0,392000000.0,245000000.0,15000000.0
SpecialIncomeCharges,-531000000.0,-6000000.0,-886000000.0,-481000000.0
RestructuringAndMergernAcquisition,531000000.0,6000000.0,886000000.0,481000000.0
GainOnSaleOfSecurity,-177000000.0,457000000.0,325000000.0,132000000.0
NetNonOperatingInterestIncomeExpense,535000000.0,116000000.0,184000000.0,335000000.0
InterestExpenseNonOperating,427000000.0,360000000.0,434000000.0,585000000.0
InterestIncomeNonOperating,962000000.0,476000000.0,618000000.0,920000000.0
OperatingIncome,15562000000.0,13975000000.0,13719000000.0,14101000000.0
OperatingExpense,20191000000.0,18273000000.0,18175000000.0,17582000000.0
DepreciationAmortizationDepletionIncomeStatement,282000000.0,313000000.0,215000000.0,141000000.0
DepreciationAndAmortizationInIncomeStatement,282000000.0,313000000.0,215000000.0,141000000.0
Amortization,282000000.0,313000000.0,215000000.0,141000000.0
AmortizationOfIntangiblesIncomeStatement,282000000.0,313000000.0,215000000.0,141000000.0
ResearchAndDevelopment,7551000000.0,6774000000.0,6549000000.0,6347000000.0
SellingGeneralAndAdministration,12358000000.0,11186000000.0,11411000000.0,11094000000.0
SellingAndMarketingExpense,9880000000.0,9085000000.0,9259000000.0,9169000000.0
GeneralAndAdministrativeExpense,2478000000.0,2101000000.0,2152000000.0,1925000000.0
OtherGandA,2478000000.0,2101000000.0,2152000000.0,1925000000.0
GrossProfit,35753000000.0,32248000000.0,31894000000.0,31683000000.0
CostOfRevenue,21245000000.0,19309000000.0,17924000000.0,17618000000.0
TotalRevenue,56998000000.0,51557000000.0,49818000000.0,49301000000.0
OperatingRevenue,56998000000.0,51557000000.0,49818000000.0,49301000000.0
