Name,Equities,%,Valuation
The Vanguard Group Inc,364251549,8.993 %,18988
Geode Capital Management LLC,77762969,1.920 %,4054
Wellington Management Co. LLP,46048861,1.137 %,2401 
Norges Bank Investment Management,42650464,1.053 %,2223 
Fidelity Management & Research Co. LLC,42110691,1.040 %,2195
Columbia Management Investment Advisers LLC,29810737,0.7360 %,1554
Wells Fargo Clearing Services LLC,28713479,0.7089 %,1497 
Dodge & Cox,23110587,0.5706 %,1.205
Managed Account Advisors LLC,19896690,0.4912 %,1037
Swedbank Robur Fonder AB,16331141,0.4032 %,851
